iteracao,tempo
2190,0.062308549880981445
2195,0.06342434883117676
2200,0.06308245658874512
2205,0.06392431259155273
2210,0.06382012367248535
2215,0.06392478942871094
2220,0.06447649002075195
2225,0.06752371788024902
2230,0.06518363952636719
2235,0.06576204299926758
2240,0.06941938400268555
2245,0.06681203842163086
2250,0.06660580635070801
2255,0.07083463668823242
2260,0.06635403633117676
2265,0.07121062278747559
2270,0.06734800338745117
2275,0.06870269775390625
2280,0.06930112838745117
2285,0.06955742835998535
2290,0.0694122314453125
2295,0.07058215141296387
2300,0.07028889656066895
2305,0.07087063789367676
2310,0.0683128833770752
2315,0.10104823112487793
2320,0.06815886497497559
2325,0.06988191604614258
2330,0.07178425788879395
2335,0.07126212120056152
2340,0.0694892406463623
2345,0.07111930847167969
2350,0.07597565650939941
2355,0.07338809967041016
2360,0.09928703308105469
2365,0.07296347618103027
2370,0.07148003578186035
2375,0.07654094696044922
2380,0.07274270057678223
2385,0.07652449607849121
2390,0.07227182388305664
2395,0.0741112232208252
2400,0.07357072830200195
2405,0.07574844360351562
2410,0.08188962936401367
2415,0.075469970703125
2420,0.07614541053771973
2425,0.07634687423706055
2430,0.07547450065612793
2435,0.07726049423217773
2440,0.07570743560791016
2445,0.07973408699035645
2450,0.07641458511352539
2455,0.07784104347229004
2460,0.0837554931640625
2465,0.0789189338684082
2470,0.0794675350189209
2475,0.0788576602935791
2480,0.07906413078308105
2485,0.08110570907592773
2490,0.07923579216003418
2495,0.0814828872680664
2500,0.0793304443359375
2505,0.08373570442199707
2510,0.0797126293182373
2515,0.08140754699707031
2520,0.08618998527526855
2525,0.08266448974609375
2530,0.08350634574890137
2535,0.08356404304504395
2540,0.0821995735168457
2545,0.13934111595153809
2550,0.08897995948791504
2555,0.08608126640319824
2560,0.08394503593444824
2565,0.08633589744567871
2570,0.08374857902526855
2575,0.08621382713317871
2580,0.09021544456481934
2585,0.08715581893920898
2590,0.08520317077636719
2595,0.08725380897521973
2600,0.08584475517272949
2605,0.08879637718200684
2610,0.08704400062561035
2615,0.08914852142333984
2620,0.0890495777130127
2625,0.09632205963134766
2630,0.09413290023803711
2635,0.08955502510070801
2640,0.08825516700744629
2645,0.08957958221435547
2650,0.08957457542419434
2655,0.09210753440856934
2660,0.08997869491577148
2665,0.09418940544128418
2670,0.1220552921295166
2675,0.09323549270629883
2680,0.09807991981506348
2685,0.09522104263305664
2690,0.09101629257202148
2695,0.09918451309204102
2700,0.09147024154663086
2705,0.09806513786315918
2710,0.09926462173461914
2715,0.09666633605957031
2720,0.09308171272277832
2725,0.09891939163208008
2730,0.09347128868103027
2735,0.09592700004577637
2740,0.09447574615478516
2745,0.10277628898620605
2750,0.10333561897277832
2755,0.09786438941955566
2760,0.09546589851379395
