CARIMBO DE DATA/HORA,LINK DA CASA,VALOR DA CASA,BAIRRO,VALOR DO IMÓVEL ,NÚMERO DE QUARTOS,NÚMERO DE BANHEIROS,TAMANHO DO TERRENO,TEM EDÍCULA?,ZONA,EDICULA,Preço da area,,,,BAIRROS
6/25/2023 11:41:58,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/21409,420000,Parque Industrial,Mais que 400 mil,2,2,242,Sim,CENTRO,1,"R$ 1,735.54",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:42:29,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/21249,380000,Parque Industrial,350-400 mil,3,2,242,Sim,CENTRO,1,"R$ 1,570.25",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:43:09,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/21218,450000,Parque Industrial,Mais que 400 mil,4,3,250,Não,CENTRO,0,"R$ 1,800.00",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:43:50,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/20548,550000,Parque Industrial,Mais que 400 mil,3,2,484,Não,CENTRO,0,"R$ 1,136.36",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:44:20,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/20507,420000,Parque Industrial,,4,6,317,Sim,CENTRO,1,"R$ 1,324.92",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:45:06,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/20482,370000,Parque Industrial,350-400 mil,4,6,320,Não,CENTRO,0,"R$ 1,156.25",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:45:42,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/19930,430000,Parque Industrial,Mais que 400 mil,3,2,242,Não,CENTRO,0,"R$ 1,776.86",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:46:29,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/18463,495000,Parque Industrial,Mais que 400 mil,3,2,252,Não,CENTRO,0,"R$ 1,964.29",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:47:06,https://wwwredentoracombr/alugar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/17525,900000,Parque Industrial,Mais que 400 mil,4,5,468,Não,CENTRO,0,"R$ 1,923.08",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:47:40,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/17507,660000,Parque Industrial,Mais que 400 mil,3,4,363,Não,CENTRO,0,"R$ 1,818.18",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:48:20,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/17424,230000,Parque Industrial,Até 250 mil,4,2,242,Sim,CENTRO,1,R$ 950.41,,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:48:55,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/17329,550000,Parque Industrial,Mais que 400 mil,4,2,242,Sim,CENTRO,1,"R$ 2,272.73",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:49:32,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/17150,350000,Parque Industrial,300-350 mil,3,2,264,Sim,CENTRO,1,"R$ 1,325.76",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:50:06,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/16730,580000,Parque Industrial,Mais que 400 mil,3,3,300,Não,CENTRO,0,"R$ 1,933.33",,,,"Parque Industrial, São José do Rio Preto"
6/25/2023 11:50:46,https://wwwredentoracombr/comprar/Sao-Jose-do-Rio-Preto/Casa/Padrao/Parque-Industrial/14941,280000,Parque Industrial,250-300 mil,2,1,242,Não,CENTRO,0,"R$ 1,157.02",,,,"Parque Industrial, São José do Rio Preto"
